"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Bayside,"Hospitality, Accommodation, Restaurants",2010,Number,4371,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2010,Number,6743,412
Queens Village,"Hospitality, Accommodation, Restaurants",2010,Number,5305,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2010,Number,2443,414
St. George,"Hospitality, Accommodation, Restaurants",2010,Number,5251,501
South Beach,"Hospitality, Accommodation, Restaurants",2010,Number,3537,502
Tottenville,"Hospitality, Accommodation, Restaurants",2010,Number,3985,503
Bronx,"Hospitality, Accommodation, Restaurants",2010,Number,52048,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2010,Number,96274,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2010,Number,90201,36061
Queens,"Hospitality, Accommodation, Restaurants",2010,Number,112847,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2010,Number,12773,36085
New York City,"Hospitality, Accommodation, Restaurants",2010,Number,364143,3651000
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09396,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09396,102
Lower East Side,"Hospitality, Accommodation, Restaurants",2010,Percent,0.15987,103
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12117,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12117,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06875,106
Upper West Side,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08633,107
Upper East Side,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06138,108
Manhattanville,"Hospitality, Accommodation, Restaurants",2010,Percent,0.13919,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09352,110
East Harlem,"Hospitality, Accommodation, Restaurants",2010,Percent,0.16444,111
Washington Heights,"Hospitality, Accommodation, Restaurants",2010,Percent,0.14004,112
Mott Haven,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12877,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12877,202
Morrisania,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09875,203
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12327,204
University Heights,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12273,205
East Tremont,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09875,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2010,Percent,0.10876,207
Riverdale,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08946,208
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09015,209
Throgs Neck,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06025,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09666,211
Williamsbridge,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06318,212
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2010,Percent,0.14758,301
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09685,302
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08217,303
Bushwick,"Hospitality, Accommodation, Restaurants",2010,Percent,0.11989,304
East New York,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07067,305
Park Slope,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09171,306
Sunset Park,"Hospitality, Accommodation, Restaurants",2010,Percent,0.19726,307
Crown Heights North,"Hospitality, Accommodation, Restaurants",2010,Percent,0.0809,308
Crown Heights South,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07005,309
Bay Ridge,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08539,310
Bensonhurst,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09937,311
Borough Park,"Hospitality, Accommodation, Restaurants",2010,Percent,0.0764,312
Coney Island,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06914,313
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07153,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06111,315
Brownsville,"Hospitality, Accommodation, Restaurants",2010,Percent,0.0576,316
East Flatbush,"Hospitality, Accommodation, Restaurants",2010,Percent,0.04787,317
Canarsie,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05092,318
Astoria,"Hospitality, Accommodation, Restaurants",2010,Percent,0.15904,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2010,Percent,0.15546,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2010,Percent,0.17251,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2010,Percent,0.18436,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08607,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05869,406
Flushing,"Hospitality, Accommodation, Restaurants",2010,Percent,0.12199,407
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07796,408
Woodhaven,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08941,409
Howard Beach,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08202,410
Bayside,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07571,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06943,412
Queens Village,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05349,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05621,414
St. George,"Hospitality, Accommodation, Restaurants",2010,Percent,0.07052,501
South Beach,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05958,502
Tottenville,"Hospitality, Accommodation, Restaurants",2010,Percent,0.05381,503
Bronx,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09691,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2010,Percent,0.08864,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2010,Percent,0.10637,36061
Queens,"Hospitality, Accommodation, Restaurants",2010,Percent,0.10586,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2010,Percent,0.06144,36085
New York City,"Hospitality, Accommodation, Restaurants",2010,Percent,0.09723,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2010,Number,11129.53297,101
Greenwich Village,"Information, Finance, Real Estate",2010,Number,16429.46703,102
Lower East Side,"Information, Finance, Real Estate",2010,Number,15809,103
Chelsea/Clinton,"Information, Finance, Real Estate",2010,Number,16419.31257,104
Midtown Business District,"Information, Finance, Real Estate",2010,Number,8217.68743,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2010,Number,30068,106
Upper West Side,"Information, Finance, Real Estate",2010,Number,30383,107
Upper East Side,"Information, Finance, Real Estate",2010,Number,38728,108
Manhattanville,"Information, Finance, Real Estate",2010,Number,6821,109
Central Harlem,"Information, Finance, Real Estate",2010,Number,6901,110
East Harlem,"Information, Finance, Real Estate",2010,Number,5412,111
Washington Heights,"Information, Finance, Real Estate",2010,Number,10892,112
Mott Haven,"Information, Finance, Real Estate",2010,Number,2106.28394,201
Hunts Point,"Information, Finance, Real Estate",2010,Number,1202.71606,202
Morrisania,"Information, Finance, Real Estate",2010,Number,1928.12392,203
Concourse/Highbridge,"Information, Finance, Real Estate",2010,Number,4242,204
University Heights,"Information, Finance, Real Estate",2010,Number,3932,205
East Tremont,"Information, Finance, Real Estate",2010,Number,2012.87608,206
Bedford Park,"Information, Finance, Real Estate",2010,Number,5040,207
Riverdale,"Information, Finance, Real Estate",2010,Number,5977,208
Unionport/Soundview,"Information, Finance, Real Estate",2010,Number,7089,209
Throgs Neck,"Information, Finance, Real Estate",2010,Number,6708,210
Pelham Parkway,"Information, Finance, Real Estate",2010,Number,5127,211
Williamsbridge,"Information, Finance, Real Estate",2010,Number,5109,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2010,Number,9473,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2010,Number,11837,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2010,Number,5763,303
Bushwick,"Information, Finance, Real Estate",2010,Number,4451,304
East New York,"Information, Finance, Real Estate",2010,Number,5157,305
Park Slope,"Information, Finance, Real Estate",2010,Number,13663,306
Sunset Park,"Information, Finance, Real Estate",2010,Number,6473,307
Crown Heights North,"Information, Finance, Real Estate",2010,Number,8605,308
Crown Heights South,"Information, Finance, Real Estate",2010,Number,4720,309
Bay Ridge,"Information, Finance, Real Estate",2010,Number,8705,310
Bensonhurst,"Information, Finance, Real Estate",2010,Number,8923,311
Borough Park,"Information, Finance, Real Estate",2010,Number,6468,312
Coney Island,"Information, Finance, Real Estate",2010,Number,4508,313
Flatbush/Midwood,"Information, Finance, Real Estate",2010,Number,8001,314
Sheepshead Bay,"Information, Finance, Real Estate",2010,Number,8006,315
Brownsville,"Information, Finance, Real Estate",2010,Number,3021,316
East Flatbush,"Information, Finance, Real Estate",2010,Number,5817,317
Canarsie,"Information, Finance, Real Estate",2010,Number,10121,318
Astoria,"Information, Finance, Real Estate",2010,Number,13577,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2010,Number,8783,402
Jackson Heights,"Information, Finance, Real Estate",2010,Number,7283,403
Elmhurst/Corona,"Information, Finance, Real Estate",2010,Number,5566,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2010,Number,9405,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2010,Number,11173,406
Flushing,"Information, Finance, Real Estate",2010,Number,14685,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2010,Number,9938,408
Woodhaven,"Information, Finance, Real Estate",2010,Number,6896,409
Howard Beach,"Information, Finance, Real Estate",2010,Number,6003,410
Bayside,"Information, Finance, Real Estate",2010,Number,9052,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2010,Number,9230,412
Queens Village,"Information, Finance, Real Estate",2010,Number,11567,413
The Rockaways,"Information, Finance, Real Estate",2010,Number,4614,414
St. George,"Information, Finance, Real Estate",2010,Number,9313,501
South Beach,"Information, Finance, Real Estate",2010,Number,8569,502
Tottenville,"Information, Finance, Real Estate",2010,Number,12932,503
Bronx,"Information, Finance, Real Estate",2010,Number,50474,36005
Brooklyn,"Information, Finance, Real Estate",2010,Number,133712,36047
Manhattan,"Information, Finance, Real Estate",2010,Number,197210,36061
Queens,"Information, Finance, Real Estate",2010,Number,127772,36081
Staten Island,"Information, Finance, Real Estate",2010,Number,30814,36085
New York City,"Information, Finance, Real Estate",2010,Number,539982,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2010,Percent,0.30677,101
Greenwich Village,"Information, Finance, Real Estate",2010,Percent,0.30677,102
Lower East Side,"Information, Finance, Real Estate",2010,Percent,0.19762,103
Chelsea/Clinton,"Information, Finance, Real Estate",2010,Percent,0.27608,104
Midtown Business District,"Information, Finance, Real Estate",2010,Percent,0.27608,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2010,Percent,0.31369,106
Upper West Side,"Information, Finance, Real Estate",2010,Percent,0.27006,107
Upper East Side,"Information, Finance, Real Estate",2010,Percent,0.30099,108
Manhattanville,"Information, Finance, Real Estate",2010,Percent,0.12072,109
Central Harlem,"Information, Finance, Real Estate",2010,Percent,0.13358,110
East Harlem,"Information, Finance, Real Estate",2010,Percent,0.11687,111
Washington Heights,"Information, Finance, Real Estate",2010,Percent,0.11177,112
Mott Haven,"Information, Finance, Real Estate",2010,Percent,0.07105,201
Hunts Point,"Information, Finance, Real Estate",2010,Percent,0.07105,202
Morrisania,"Information, Finance, Real Estate",2010,Percent,0.07954,203
Concourse/Highbridge,"Information, Finance, Real Estate",2010,Percent,0.08114,204
University Heights,"Information, Finance, Real Estate",2010,Percent,0.07721,205
East Tremont,"Information, Finance, Real Estate",2010,Percent,0.07954,206
Bedford Park,"Information, Finance, Real Estate",2010,Percent,0.1025,207
Riverdale,"Information, Finance, Real Estate",2010,Percent,0.12008,208
Unionport/Soundview,"Information, Finance, Real Estate",2010,Percent,0.09798,209
Throgs Neck,"Information, Finance, Real Estate",2010,Percent,0.13259,210
Pelham Parkway,"Information, Finance, Real Estate",2010,Percent,0.09683,211
Williamsbridge,"Information, Finance, Real Estate",2010,Percent,0.08122,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2010,Percent,0.14122,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2010,Percent,0.19187,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2010,Percent,0.11556,303
Bushwick,"Information, Finance, Real Estate",2010,Percent,0.08281,304
East New York,"Information, Finance, Real Estate",2010,Percent,0.08847,305
Park Slope,"Information, Finance, Real Estate",2010,Percent,0.20843,306
Sunset Park,"Information, Finance, Real Estate",2010,Percent,0.09307,307
Crown Heights North,"Information, Finance, Real Estate",2010,Percent,0.15464,308
Crown Heights South,"Information, Finance, Real Estate",2010,Percent,0.09542,309
Bay Ridge,"Information, Finance, Real Estate",2010,Percent,0.15276,310
Bensonhurst,"Information, Finance, Real Estate",2010,Percent,0.12279,311
Borough Park,"Information, Finance, Real Estate",2010,Percent,0.11228,312
Coney Island,"Information, Finance, Real Estate",2010,Percent,0.11269,313
Flatbush/Midwood,"Information, Finance, Real Estate",2010,Percent,0.11732,314
Sheepshead Bay,"Information, Finance, Real Estate",2010,Percent,0.13281,315
Brownsville,"Information, Finance, Real Estate",2010,Percent,0.07673,316
East Flatbush,"Information, Finance, Real Estate",2010,Percent,0.08892,317
Canarsie,"Information, Finance, Real Estate",2010,Percent,0.10685,318
Astoria,"Information, Finance, Real Estate",2010,Percent,0.14999,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2010,Percent,0.12824,402
Jackson Heights,"Information, Finance, Real Estate",2010,Percent,0.08005,403
Elmhurst/Corona,"Information, Finance, Real Estate",2010,Percent,0.08384,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2010,Percent,0.11793,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2010,Percent,0.19416,406
Flushing,"Information, Finance, Real Estate",2010,Percent,0.12392,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2010,Percent,0.14036,408
Woodhaven,"Information, Finance, Real Estate",2010,Percent,0.10289,409
Howard Beach,"Information, Finance, Real Estate",2010,Percent,0.10266,410
Bayside,"Information, Finance, Real Estate",2010,Percent,0.15679,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2010,Percent,0.09503,412
Queens Village,"Information, Finance, Real Estate",2010,Percent,0.11664,413
The Rockaways,"Information, Finance, Real Estate",2010,Percent,0.10617,414
St. George,"Information, Finance, Real Estate",2010,Percent,0.12507,501
South Beach,"Information, Finance, Real Estate",2010,Percent,0.14433,502
Tottenville,"Information, Finance, Real Estate",2010,Percent,0.17462,503
Bronx,"Information, Finance, Real Estate",2010,Percent,0.09398,36005
Brooklyn,"Information, Finance, Real Estate",2010,Percent,0.12311,36047
